concurso,acertos,loss
591,8,0.6883559226989746
592,10,0.6604359149932861
593,7,0.6858070492744446
594,11,0.6634493470191956
595,6,0.6872076392173767
596,8,0.6844989657402039
597,10,0.6609022617340088
598,8,0.6795104742050171
599,9,0.6787950992584229
600,9,0.6664912700653076
601,8,0.669701099395752
602,8,0.6836727857589722
603,9,0.666096568107605
604,9,0.6805624961853027
605,6,0.6945430636405945
606,10,0.6712743639945984
607,8,0.6830477118492126
608,10,0.6610071063041687
609,10,0.6759815812110901
610,8,0.6845915913581848
611,10,0.6662546396255493
612,9,0.6761190891265869
613,10,0.6604071259498596
614,11,0.6749302744865417
615,9,0.6694250702857971
616,10,0.6769537329673767
617,10,0.6618155837059021
618,9,0.67066490650177
619,12,0.6641803979873657
620,9,0.6876618266105652
621,11,0.656157374382019
622,10,0.6709541082382202
623,8,0.6662178635597229
624,7,0.6900227069854736
625,10,0.666004478931427
626,11,0.6589412689208984
627,9,0.6714188456535339
628,11,0.6565930843353271
629,8,0.6729429364204407
630,8,0.6839596033096313
631,7,0.6887677907943726
632,8,0.6904692053794861
633,9,0.6710342168807983
634,10,0.6665159463882446
635,10,0.6647255420684814
636,9,0.6735607981681824
637,9,0.6702280640602112
638,9,0.674713134765625
639,8,0.6675436496734619
640,8,0.6859287023544312
641,11,0.6673409938812256
642,10,0.6669150590896606
643,9,0.6829236745834351
644,9,0.6753580570220947
645,9,0.6723368763923645
646,9,0.6763327121734619
647,10,0.677874743938446
648,9,0.6814303398132324
649,7,0.6839389801025391
650,7,0.6933419108390808
651,10,0.6614227294921875
652,8,0.6830633282661438
653,9,0.6748717427253723
654,9,0.6788263916969299
655,8,0.6825305819511414
656,8,0.6806899905204773
657,10,0.6543034315109253
658,10,0.6736161708831787
659,7,0.7000574469566345
660,9,0.6776891946792603
661,8,0.6762943863868713
662,11,0.6606407761573792
663,7,0.6810471415519714
664,7,0.6824226379394531
665,8,0.683681309223175
666,9,0.6866956353187561
667,9,0.6703464984893799
668,8,0.678243100643158
669,8,0.6779889464378357
670,9,0.6656431555747986
671,11,0.6682966351509094
672,10,0.6639906167984009
673,8,0.6927258372306824
674,8,0.6842283010482788
675,9,0.6826173663139343
676,11,0.6668417453765869
677,8,0.6667929291725159
678,9,0.6684452295303345
679,7,0.676809549331665
680,7,0.6860125660896301
681,8,0.6821972727775574
682,11,0.6607884168624878
683,9,0.6822882294654846
684,10,0.6640297770500183
685,9,0.6677520871162415
686,10,0.6597340106964111
687,9,0.6629054546356201
688,9,0.679055392742157
689,9,0.6569000482559204
690,9,0.6661291718482971
691,10,0.6519785523414612
692,9,0.6692311763763428
693,8,0.6845386624336243
694,9,0.6698658466339111
695,11,0.6652870178222656
696,8,0.684714138507843
697,9,0.6702220439910889
698,9,0.6815057396888733
699,10,0.6638815999031067
700,9,0.6805278658866882
701,10,0.6624087691307068
702,9,0.6837925910949707
703,6,0.6999191045761108
704,8,0.6914986968040466
705,9,0.6718751788139343
706,7,0.7037798166275024
707,9,0.6695232391357422
708,9,0.6869642734527588
709,9,0.6716423034667969
710,10,0.6711487770080566
711,7,0.6961800456047058
712,10,0.6554217338562012
713,11,0.6610338687896729
714,9,0.6763187646865845
715,8,0.696780264377594
716,7,0.6941874623298645
717,11,0.6530187129974365
718,10,0.6642031073570251
719,9,0.6753082871437073
720,12,0.6552553772926331
721,8,0.6921635270118713
722,9,0.6697508096694946
723,8,0.6765212416648865
724,9,0.6867327690124512
725,13,0.6591900587081909
726,8,0.6840494275093079
727,10,0.6587727069854736
728,10,0.6705104112625122
729,9,0.6759073734283447
730,10,0.6701045036315918
731,9,0.6661713123321533
732,7,0.6829684376716614
733,9,0.676710844039917
734,9,0.6734861731529236
735,9,0.6836504936218262
736,6,0.7016394734382629
737,10,0.6672699451446533
738,10,0.6633852124214172
739,10,0.6567990779876709
740,10,0.6775345802307129
